,ID,Time,Lane,Class,x,Speed,Acceleration,Mileage
66506,201,0.0,2,1,36.0,67.89816000000002,0.004223999997776673,4.968549
66507,196,0.0,2,1,36.0,67.9946399999988,-0.001583999995062868,4.955731
66508,187,0.0,3,2,48.0,65.10096000000232,-0.002640000007403387,4.910347
66509,198,0.0,3,4,48.0,66.73176000000005,-0.0010559999982717727,4.880979
66510,193,0.0,3,0,48.0,67.07520000000073,-0.10031999999995378,4.857727
66511,203,0.0,0,3,12.0,73.50012000000063,-0.0021120000012331275,4.8205476
66512,192,0.0,1,3,24.0,68.50151999999738,-0.0026399999933346407,4.6779118
66513,206,0.0,2,2,36.0,72.89856000000192,0.004751999994567768,4.6768284
66514,191,0.0,2,0,36.0,64.99980000000001,0.0,4.531938
66515,200,0.0,1,2,24.0,68.5018799999984,-0.003167999994815318,4.512463
66516,209,0.0,1,0,24.0,69.10559999999997,-0.10454400000242003,4.480418
66517,205,0.0,0,2,12.0,68.50152000000058,-0.0036960000009855776,4.4246793
66518,208,0.0,0,7,12.0,68.77907999999877,-0.09926399999699242,4.3649597
66519,212,0.0,0,1,12.0,69.29999999999836,-0.0031679999995049,4.349154
66520,204,0.0,2,2,36.0,67.89959999999766,4.689582056016661e-12,4.248058
66521,218,0.0,0,2,12.0,73.5026400000013,-0.006336000003699382,4.192602
66522,211,0.0,3,2,48.0,65.10275999999777,-0.0026399999933346407,4.1635036
66523,210,0.0,2,3,36.0,67.89852000000103,0.004223999997776673,4.0444283
66524,207,0.0,3,2,48.0,64.9994400000022,0.0010559999935821907,3.986661
66525,231,0.0,0,2,12.0,73.50083999999946,0.0,3.9741662
66526,215,0.0,3,2,48.0,64.96919999999892,0.00528000000309324,3.962467
66527,220,0.0,0,2,12.0,73.49796000000097,0.0015839999974180804,3.9493465
66528,214,0.0,2,2,36.0,64.99944000000059,0.0005279999991463076,3.7934668
66529,221,0.0,3,3,48.0,65.09808000000064,0.0005279999991254651,3.6662078
66530,222,0.0,3,2,48.0,65.08691999999971,0.0005279999991463076,3.6407733
66531,232,0.0,0,2,12.0,68.50043999999914,2.3552123214661452e-12,3.6326542
66532,223,0.0,0,3,12.0,65.54628000000093,2.2334399999979837,3.6206734
66533,226,0.0,0,2,12.0,66.82319999999908,-0.00422399999775583,3.599025
66534,227,0.0,0,4,12.0,67.80240000000006,-0.0021120000012331275,3.575647
66535,224,0.0,0,3,12.0,69.94260000000025,-1.2714239999990544,3.5439703
66536,213,0.0,1,1,24.0,58.751640000000194,0.0005279999991358864,3.4786391
66537,216,0.0,2,1,36.0,59.99759999999945,-0.0005279999991358864,3.446517
66538,219,0.0,2,2,36.0,58.63067999999991,2.193839999999483,3.4389527
66539,228,0.0,2,3,36.0,64.36188000000004,-1.5296159999985444,3.4022243
66540,217,0.0,1,5,24.0,58.751999999999605,0.0010560000006165637,3.3932326
66541,225,0.0,3,2,48.0,70.100639999999,2.334369734550516e-12,3.389018
66542,230,0.0,1,2,24.0,58.463639999999906,0.03854400000022906,3.3686085
66543,240,0.0,1,2,24.0,62.11223999999991,-0.8310719999998639,3.3232696
66544,229,0.0,2,2,36.0,64.99944000000059,0.0010559999982926152,3.10194
66545,235,0.0,2,4,36.0,68.20883999999995,0.25819199999952125,3.0578463
66546,233,0.0,0,1,12.0,63.498959999999016,-0.0021119999965435454,2.985443
66547,236,0.0,0,2,12.0,63.49320000000045,0.0,2.961779
66548,234,0.0,1,2,24.0,63.498240000000195,0.0005279999991358864,2.9573913
66549,245,0.0,1,2,24.0,65.12040000000087,-2.334369734550516e-12,2.93788
66550,243,0.0,1,4,24.0,66.18239999999903,0.20011200000078208,2.9192824
66551,241,0.0,0,3,12.0,67.10363999999896,-0.504239999997814,2.9180171
66552,239,0.0,3,2,48.0,59.99724000000004,0.0005279999991358864,2.8065448
66553,252,0.0,1,3,24.0,83.5027199999999,0.0005280000014806774,2.791724
66554,249,0.0,0,2,12.0,68.50080000000017,-0.0005279999991463076,2.6628315
66555,250,0.0,1,2,24.0,73.49759999999996,2.3552123214661452e-12,2.661872
66556,244,0.0,3,2,48.0,65.00016000000102,-0.0005280000014806774,2.6433294
66557,247,0.0,0,2,12.0,67.10148000000089,0.19535999999916953,2.6422513
66558,255,0.0,1,2,24.0,74.1697199999999,-0.09979200000080747,2.6283777
66559,237,0.0,2,1,36.0,64.99908000000119,0.002639999998024223,2.6144407
66560,248,0.0,0,3,12.0,66.19788000000088,-0.10929600000167738,2.6125371
66561,242,0.0,3,4,48.0,65.09844000000004,0.0,2.6075284
66562,238,0.0,2,2,36.0,64.73843999999929,0.04224000000121464,2.5926564
66563,246,0.0,3,5,48.0,64.62468000000001,-0.12883200000018746,2.5925705
66564,256,0.0,1,1,24.0,73.49759999999996,0.0,2.4571643
66565,253,0.0,0,5,12.0,68.49576000000042,0.004223999997776673,2.43527
66566,251,0.0,2,2,36.0,67.90536000000102,-0.002640000002713805,2.4260764
66567,264,0.0,1,5,24.0,73.52495999999995,0.7318080000005371,2.4206312
66568,263,0.0,0,2,12.0,70.21043999999996,-0.00158399999975245,2.4126947
66569,258,0.0,3,4,48.0,64.99908000000119,0.0010559999982717727,2.363469
66570,257,0.0,3,2,48.0,62.328239999999724,0.35059200000070234,2.346649
66571,262,0.0,1,2,24.0,73.49796000000097,-0.0005280000014806774,2.3326132
66572,254,0.0,2,2,36.0,65.00052000000042,-0.00158399999975245,2.2587466
66573,259,0.0,3,1,48.0,64.99944000000059,0.0010559999982926152,2.148608
66574,260,0.0,0,2,12.0,68.4953999999994,2.3552123214661452e-12,2.1416078
66575,271,0.0,1,2,24.0,78.50015999999994,-0.001056000000626985,2.1404684
66576,270,0.0,3,5,48.0,64.99980000000001,0.0010560000006061424,2.0041637
66577,268,0.0,1,2,24.0,73.49759999999996,0.0,1.9866283
66578,274,0.0,1,2,24.0,73.49759999999996,0.0,1.9529942
66579,265,0.0,3,2,48.0,68.96699999999979,-0.6182879999999159,1.9467274
66580,261,0.0,2,2,36.0,59.99724000000004,0.001055999999449379,1.9199165
66581,266,0.0,0,0,12.0,68.49503999999999,0.0,1.8617648
66582,275,0.0,0,2,12.0,73.49759999999996,0.0005280000003134925,1.7671505
66583,267,0.0,3,0,48.0,65.09772000000042,0.0010559999994389575,1.7548522
66584,277,0.0,0,2,12.0,75.32136000000006,0.0739199999997652,1.7527596
66585,276,0.0,1,2,24.0,73.49796000000018,-0.0005280000003134925,1.729858
66586,269,0.0,2,2,36.0,67.90536000000023,-1.167184867275258e-12,1.699427
66587,281,0.0,1,2,24.0,73.49795999999938,-0.0010559999982926152,1.650732
66588,273,0.0,3,4,48.0,65.00016000000022,0.0,1.5744421
66589,272,0.0,2,2,36.0,59.99724000000004,0.0005280000003030712,1.5316001
66590,279,0.0,0,2,12.0,68.49503999999999,0.0,1.5136651
66591,298,0.0,3,2,48.0,65.09807999999984,0.0,1.5046937
66592,278,0.0,2,2,36.0,61.49376000000011,0.0,1.5024103
66593,282,0.0,1,5,24.0,73.49796000000018,-0.0005280000003134925,1.4932029
66594,287,0.0,3,4,48.0,65.88503999999969,0.1990560000013223,1.4891858
66595,280,0.0,2,1,36.0,62.024759999999986,-0.0992639999993268,1.4740208
66596,284,0.0,0,3,12.0,68.49503999999999,0.0,1.3899933
66597,286,0.0,0,2,12.0,70.27559999999964,1.167184867275258e-12,1.331188
66598,290,0.0,1,3,24.0,68.49503999999999,0.0,1.2872506
66599,285,0.0,2,4,36.0,67.90536000000023,-0.0005280000003134925,1.2867764
66600,283,0.0,3,3,48.0,65.09844000000004,-0.0005279999991254651,1.2666155
66601,293,0.0,2,3,36.0,69.57647999999992,1.167184867275258e-12,1.2514123
66602,289,0.0,0,3,12.0,78.50052000000014,-0.00052800000029265,1.2398963
66603,288,0.0,3,4,48.0,70.1006399999998,0.0,1.1107446
66604,291,0.0,1,4,24.0,68.49503999999999,0.0,1.0797656
66605,292,0.0,2,3,36.0,65.0000160000003,-0.000844800000743362,0.99666524
66606,294,0.0,0,1,12.0,83.5029,-0.0007920000004598175,0.97776955
66607,296,0.0,0,2,12.0,78.4892160000001,-0.0001055999999418115,0.9193338
66608,297,0.0,2,2,36.0,72.89694000000017,0.0,0.8042417
66609,295,0.0,1,4,24.0,68.4953999999998,-0.0005279999997299001,0.7772588
66610,300,0.0,3,2,48.0,65.00005200000007,-0.0004224000003508384,0.7745822
66611,299,0.0,0,4,12.0,73.49741999999986,0.00047520000002994794,0.76679295
66612,302,0.0,1,2,24.0,70.20993599999983,-5.279999967910953e-05,0.74194694
66613,303,0.0,2,2,36.0,72.89676000000007,0.000211199999883623,0.7310666
66614,301,0.0,3,1,48.0,64.99980000000001,0.0005280000003134925,0.7131934
66615,304,0.0,3,2,48.0,69.31313999999963,-0.8775359999994389,0.67123485
